date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.975;F_est;F_0.025;F_0.975
2021-09-08;0-60;58;58,0;58;58;395;395,0;395;395;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-08;60+;36;36,0;36;36;255;255,0;255;255;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-08;alle;94;94,0;94;94;650;650,0;650;650;NA;NA;NA
2021-09-07;0-60;70;70,0;70;70;391;391,0;391;391;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-07;60+;32;32,0;32;32;251;251,0;251;251;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-07;alle;102;102,0;102;102;642;642,0;642;642;NA;NA;NA
2021-09-06;0-60;56;56,0;56;56;368;368,0;368;368;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-06;60+;43;43,0;43;43;241;241,0;241;241;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-06;alle;99;99,0;99;99;609;609,0;609;609;NA;NA;NA
2021-09-05;0-60;40;40,0;40;40;356;356,0;356;356;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-05;60+;34;34,0;34;34;224;224,0;224;224;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-05;alle;74;74,0;74;74;580;580,0;580;580;NA;NA;NA
2021-09-04;0-60;54;54,0;54;54;356;356,0;356;356;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-04;60+;25;25,0;25;25;207;207,0;207;207;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-04;alle;79;79,0;79;79;563;563,0;563;563;NA;NA;NA
2021-09-03;0-60;62;62,0;62;62;348;348,0;348;348;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-03;60+;40;40,0;40;40;205;205,0;205;205;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-03;alle;102;102,0;102;102;553;553,0;553;553;NA;NA;NA
2021-09-02;0-60;55;55,0;55;55;328;328,0;328;328;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-02;60+;45;45,0;45;45;183;183,0;183;183;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-02;alle;100;100,0;100;100;511;511,0;511;511;NA;NA;NA
2021-09-01;0-60;54;54,0;54;54;313;313,0;313;313;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-01;60+;32;32,0;32;32;155;155,0;155;155;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-01;alle;86;86,0;86;86;468;468,0;468;468;NA;NA;NA
2021-08-31;0-60;47;47,0;47;47;304;304,0;304;304;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-31;60+;22;22,0;22;22;153;153,0;153;153;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-31;alle;69;69,0;69;69;457;457,0;457;457;NA;NA;NA
2021-08-30;0-60;44;44,0;44;44;303;303,0;303;303;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-30;60+;26;26,0;26;26;155;155,0;155;155;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-30;alle;70;70,0;70;70;458;458,0;458;458;NA;NA;NA
2021-08-29;0-60;40;40,0;40;40;323;323,0;323;323;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-29;60+;17;17,0;17;17;152;152,0;152;152;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-29;alle;57;57,0;57;57;475;475,0;475;475;NA;NA;NA
2021-08-28;0-60;46;46,0;46;46;321;321,0;321;321;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-28;60+;23;23,0;23;23;150;150,0;150;150;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-28;alle;69;69,0;69;69;471;471,0;471;471;NA;NA;NA
2021-08-27;0-60;42;42,0;42;42;306;306,0;306;306;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-27;60+;18;18,0;18;18;136;136,0;136;136;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-27;alle;60;60,0;60;60;442;442,0;442;442;NA;NA;NA
2021-08-26;0-60;40;40,0;40;40;307;307,0;307;307;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-26;60+;17;17,0;17;17;135;135,0;135;135;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-26;alle;57;57,0;57;57;442;442,0;442;442;NA;NA;NA
2021-08-25;0-60;45;45,0;45;45;291;291,0;291;291;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-25;60+;30;30,0;30;30;134;134,0;134;134;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-08-25;alle;75;75,0;75;75;425;425,0;425;425;NA;NA;NA
